miss,cache_ref,instruction,ipc,replica_num,transfer,bitrate
8267761,37599922,1675381924,0.60,0,100,100
7735665,36688994,1828044119,0.48,0,100,100
8513844,39226635,1860774190,0.61,0,100,100
7747330,36085196,1652132493,0.61,0,100,100
8704887,39956169,1856978254,0.62,0,100,100
7983326,37491830,1621157611,0.58,0,100,100
9055743,40834734,1941658547,0.60,0,100,100
7863134,37860845,1833329274,0.57,0,100,100
8320771,38917830,1832282767,0.57,0,100,100
8132648,37913585,1738107628,0.59,0,100,100
8108330,38379869,1707900773,0.60,0,100,100
8290387,38870185,2863653451,0.500000000,0,100,100
9009245,40755037,3002168433,0.333333333,0,100,100
8387252,38524647,4481968665,0.500000000,0,100,100
8777405,39742741,2986054665,0.500000000,0,100,100
7746357,36336552,3165170877,0.333333333,0,100,100
8340424,38617448,3267655320,0.333333333,0,100,100
7686523,35420216,2639556576,0.500000000,0,100,100
8767058,39459842,2965129472,0.500000000,0,100,100
7605285,35287037,3127619403,0.333333333,0,100,100
8535279,39370820,2984452917,0.500000000,0,100,100
7904709,36994950,3118553086,0.333333333,0,100,100

7513611,37363315,1735193219,0.62,1,7.14,6.13
8661593,41401316,2144375883,0.53,1,5.96,5.12
8224016,39524126,1776892396,0.60,1,6.92,5.94
8664736,40717212,2075369383,0.57,1,6.97,5.99
7877600,38158112,1692757821,0.58,1,6.10,5.24
8406410,40496829,1831327841,0.59,1,6.13,5.26
8798569,42088898,2044373559,0.58,1,6.54,5.62
8240573,38701843,2241868640,0.47,1,7.01,6.02
8737922,40772982,1883323746,0.61,1,6.07,5.21
8473531,40530675,1983736188,0.56,1,6.12,5.25

9943242,48694528,2326573562,0.62,2,6.48,5.56
8800164,42346415,2048095775,0.61,2,5.47,4.69
8333427,40543667,2011376531,0.65,2,5.80,4.98
9074737,42682800,2098967001,0.64,2,5.93,5.09
9212234,42046276,2051294160,0.63,2,5.88,5.05
8553323,41722840,1909211868,0.61,2,6.37,5.48
9082351,42133206,2069069399,0.64,2,6.39,5.49
8470330,40136650,1899764152,0.62,2,5.63,4.84
9094561,42694788,2043399603,0.63,2,6.46,5.54
8126553,39195018,1798725875,0.61,2,6.52,5.60
9097338,43982245,2094047540,0.63,2,6.47,5.56

9125089,43201067,2162738055,0.62,3,5.31,4.56
8512268,41475564,1928925994,0.62,3,5.78,4.96
8335032,41106107,2264050430,0.52,3,5.40,4.64
8687956,41661187,2015821996,0.64,3,5.13,4.41
8477854,41572668,1977421729,0.64,3,5.34,4.59
9133813,43386026,2058552443,0.63,3,5.24,4.50
8984242,43052537,2099817827,0.63,3,5.79,4.97
8875253,41652156,2067961317,0.65,3,5.51,4.73
8703440,41873912,2058012976,0.65,3,5.42,4.66

9318019,43972800,2420415100,0.53,4,4.86,4.18
9378219,45039619,2369301483,0.63,4,5.01,4.30
9183834,45231082,2233276874,0.65,4,4.87,4.18
8512901,41566019,2072307432,0.64,4,4.78,4.11
8427839,41783212,2076439832,0.60,4,4.78,4.10
9367130,44972454,2228770648,0.65,4,4.64,3.98
9197537,47196881,2321807644,0.64,4,4.84,4.16
9520079,47086972,2349855350,0.62,4,4.65,4.00
9421714,45154164,2248265883,0.65,4,4.88,4.20
8621813,43049947,2086573602,0.63,4,4.91,4.22
9514399,46136227,2363156889,0.66,4,4.82,4.14

9192030,45515201,2244464373,0.64,5,4.43,3.81
9513526,46553561,2360571195,0.65,5,4.46,3.84
9261885,45373771,2350309657,0.64,5,4.54,3.90
9044660,43695070,2191402574,0.65,5,4.46,3.83
9212012,44573954,2359483026,0.64,5,4.37,3.75
9638923,47306104,2380209335,0.65,5,4.48,3.84
9418471,45999801,2266495948,0.65,5,4.31,3.70
9790285,47796138,2466219969,0.66,5,4.47,3.84
9796419,47768587,2405256896,0.65,5,4.61,3.96
9681151,46273789,2246324238,0.64,5,4.51,3.87

9762799,47960263,2501675463,0.67,6,4.06,3.49
9590026,47101568,2369519067,0.65,6,4.15,3.57
10071807,49592253,2602804290,0.67,6,4.04,3.47
9908753,48373758,2557399612,0.68,6,3.87,3.32
10465890,50253814,2619462239,0.67,6,4.23,3.63
9959229,49223039,2540061454,0.67,6,4.01,3.44
9387003,46482871,2386540538,0.67,6,3.85,3.30
9540012,48055474,2443552170,0.66,6,3.97,3.41
9696853,47689033,2501675463,0.66,6,3.86,3.31
10165470,49716316,2592323019,0.67,6,4.08,3.50

9894037,50378508,2661471674,0.67,7,3.48,2.99
9505185,47316200,2402646564,0.65,7,3.45,2.96
9520381,47163516,2524551187,0.66,7,3.49,3.00
9747774,48591314,2911440292,0.53,7,3.36,2.88
10323360,51752033,2737172879,0.68,7,3.58,3.07
9504907,48203150,2538139956,0.66,7,3.55,3.05

9892406,50240908,2639513305,0.67,8,3.10,2.66
9993286,48938470,2644581429,0.69,8,3.04,2.61
10148134,50197462,2630524252,0.68,8,3.04,2.61
10357958,50602971,2690931985,0.68,8,3.09,2.65
10235359,51718864,2680847013,0.67,8,3.12,2.68
10074663,50981199,2735471426,0.69,8,3.07,2.64


10506083,51172499,2888598665,0.69,9,3.10,2.66
10751389,51992099,2910200373,0.71,9,3.04,2.61
11211000,53752877,2915651742,0.69,9,3.04,2.61
11123571,54012245,2963460592,0.70,9,3.09,2.65
10533415,51610714,2937396146,0.62,9,3.12,2.68
11129830,54511477,2903025109,0.68,9,3.07,2.64
11183574,54700881,2925395933,0.68,9,2.70,2.32
11189558,54632468,3145308386,0.67,9,2.72,2.34
11393347,54561046,3010964379,0.70,9,2.74,2.36
10876133,54033493,2940824129,0.69,9,2.72,2.33

11343781,55248334,4902051291,0.750000000,10,2.35,2.02
10297605,51491838,4069888860,0.500000000,10,2.36,2.03
11665682,55825965,4442052259,0.750000000,10,2.40,2.06
11057632,54189515,4336549093,0.750000000,10,2.46,2.11
10758155,53905072,4281280845,0.750000000,10,2.25,1.93
11115844,53383554,4235321032,0.500000000,10,2.51,2.16
11128612,54085345,4299278750,0.750000000,10,2.38,2.04
10630501,52430343,4817185928,0.750000000,10,2.37,2.04
10979523,54862590,4386331542,0.750000000,10,2.38,2.04
10752395,53697754,4255839046,0.500000000,10,2.35,2.02

13268560,67974505,5834954033,0.800000000,20,1.47,1.26
13905308,70468565,5855781956,0.800000000,20,1.33,1.14
13126403,66944169,5520710323,0.800000000,20,1.58,1.35
13923927,70182226,5728282646,0.800000000,20,1.43,1.22
12915934,66305429,5458675168,0.800000000,20,1.34,1.14
13610544,69337656,5718861251,0.800000000,20,1.51,1.29
13081146,67725783,5523697019,0.800000000,20,1.55,1.32
12894490,67419920,5598835488,0.800000000,20,1.53,1.31
12932782,65522727,5316367887,0.600000000,20,1.42,1.21
13813191,69232366,5772692820,0.800000000,20,1.48,1.27
12768088,65393852,5347044741,0.800000000,20,1.41,1.21

15308122,82407531,6954738442,0.833333333,30,1.47,1.26
15232272,80230152,6711789391,0.833333333,30,1.33,1.14
15241044,80894767,6757718285,0.833333333,30,1.58,1.35
15965546,82545675,6988378905,0.833333333,30,1.43,1.22
15378309,82061986,6854291182,0.833333333,30,1.34,1.14
15414559,81081507,6805075099,0.833333333,30,1.51,1.29
15232131,81267250,6772818664,0.833333333,30,1.55,1.32
16011091,83720270,7095886230,0.714285714,30,1.53,1.31
15911383,83445159,6986120547,0.833333333,30,1.42,1.21
16250902,84762979,7095546768,0.714285714,30,1.48,1.27

18207953,98878625,8586531904,0.750000000,40,1.47,1.26
17934494,97718034,8881636007,0.750000000,40,1.33,1.14
17891770,96289316,8208836410,0.750000000,40,1.58,1.35
17700357,96396880,8165889316,0.750000000,40,1.43,1.22
18413786,98344062,8442277996,0.750000000,40,1.34,1.14
18009472,95876000,8241856377,0.750000000,40,1.51,1.29
19479171,101982039,8738215888,0.875000000,40,1.55,1.32
17363278,94886836,7962849543,0.857142857,40,1.53,1.31
17029489,94235855,8076878716,0.750000000,40,1.42,1.21
15526771,88160259,7724430369,0.857142857,40,1.48,1.27

20584148,112053862,9567849193,0.777777778,50,1.79,1.54
20841039,113901700,9819208706,0.888888889,50,1.73,1.48
20411244,112823878,9620960875,0.777777778,50,1.85,1.59
20720743,114752754,9911665501,0.888888889,50,1.82,1.56
19944143,112271499,9760147834,0.888888889,50,1.75,1.50
20724374,114282949,9909938996,0.888888889,50,1.85,1.58
19980358,111358453,9450271253,0.777777778,50,1.77,1.52
21175147,115650964,9978360961,0.888888889,50,1.66,1.42
20169452,111359830,9497653385,0.777777778,50,1.72,1.47

22970456,128073193,11221075828,0.818181818,60,1.61,1.38
23617973,129262692,11209479111,0.818181818,60,1.39,1.19
23012863,129442564,11195174525,0.818181818,60,1.39,1.19
22828805,127848233,11007046096,0.818181818,60,1.54,1.32
23215984,127366562,11108791081,0.818181818,60,1.43,1.22
22877639,126074979,10955074774,0.900000000,60,1.56,1.34
22442465,126124569,10969673457,0.900000000,60,1.54,1.32
23020701,126653339,11325634145,0.818181818,60,1.57,1.34
23079019,129539914,11173112013,0.818181818,60,1.94,1.67
23587163,127065465,10958630052,0.900000000,60,1.84,1.58

25101941,140119835,12182309813,0.833333333,70,1.77,1.52
25787311,145568662,12777987682,0.833333333,70,1.37,1.17
25886985,141932109,12820491800,0.833333333,70,1.29,1.10
25596201,144952903,12790404311,0.833333333,70,1.94,1.66
26574081,147387637,12784515845,0.833333333,70,1.69,1.45
26347644,144849396,13006392220,0.846153846,70,1.38,1.17
24047681,137025248,11836667102,0.909090909,70,1.47,1.26
26063476,144850161,12641791874,0.833333333,70,1.40,1.20
26103743,143637317,12375198591,0.833333333,70,1.55,1.33
24200972,137820707,11988938979,0.909090909,70,1.46,1.25

28303142,162283918,14139386808,0.785714286,80,1.84,1.58
29824353,166544402,14549265725,0.857142857,80,1.54,1.32
27945004,156993148,13698566512,0.846153846,80,1.69,1.45
29108303,161845040,14109360479,0.857142857,80,1.66,1.42
28481282,158787760,13828800880,0.846153846,80,1.38,1.18
28772796,160349168,13961512412,0.846153846,80,1.40,1.19
29475581,162236627,14240686402,0.785714286,80,1.77,1.52
28509968,159126219,13992383511,0.923076923,80,1.78,1.52
26303954,149048075,13126483139,0.846153846,80,1.80,1.55
26077506,149269733,13225578858,0.846153846,80,1.83,1.57

31744655,176419638,15556123268,0.866666667,90,1.80,1.54
30493620,170336349,15117337760,0.800000000,90,1.42,1.22
31341865,179517475,15809794462,0.866666667,90,1.78,1.52
29351851,168199495,14616212468,0.857142857,90,1.86,1.59
31439435,176060674,15510007185,0.866666667,90,1.24,1.06
30935594,173592555,15447599941,0.800000000,90,1.38,1.18
29978265,174266449,15362811490,0.866666667,90,1.49,1.28
28097567,161711219,14217573784,0.857142857,90,1.51,1.30
31476921,176559921,15785256812,0.866666667,90,1.39,1.18
30719608,172301051,15076990596,0.800000000,90,1.60,1.37
30815049,173432458,15259867956,0.866666667,90,1.45,1.24
30763195,170940036,14998900981,0.857142857,90,1.39,1.19
31370224,175411953,15581138065,0.866666667,90,1.33,1.13
30300999,172630067,15038171153,0.800000000,90,1.41,1.21
31640686,178762629,15701906944,0.866666667,90,1.46,1.24
31083036,175738457,15327260066,0.866666667,90,1.39,1.19
32010245,179154579,15771220937,0.866666667,90,1.44,1.23
31403938,174500765,15455901810,0.866666667,90,1.33,1.14
31007064,176044206,15526605313,0.866666667,90,1.24,1.06
31029125,174811226,15790453061,0.866666667,90,1.38,1.18

32724153,189622134,16602344961,0.875000000,100
32022214,184480588,16147343456,0.812500000,100
33065260,188116682,16533395468,0.875000000,100
31972141,182598955,16060062285,0.812500000,100
31505617,181801033,16281539822,0.875000000,100
34424835,191428943,16818407142,0.875000000,100
33513876,191656030,16809746330,0.875000000,100
33094990,189482407,16695470915,0.875000000,100
33406696,192515375,16968503082,0.875000000,100
33822085,190131042,16623799430,0.875000000,100